"","Time","GDP_2011","Ex_2011","Im_2011","Inv_current","Inv_index","Budget_in","Tax_pi","Tax_ndfl","Tax_nds","Tax_ndpi","Insurance","Budget_out","Out_general","Out_defense","Out_economy","Out_educ","Out_soc","Brent","IPC","Budget_in_r","Tax_pi_r","Tax_ndfl_r","Tax_nds_r","Tax_ndpi_r","Insurance_r","Budget_out_r","Out_general_r","Out_defense_r","Out_economy_r","Out_educ_r","Out_soc_r","INDEXDefl"
"24","2009q03",13838.0099597238,4041.00922880683,1894.810109696,1975.08342504489,139.215789550748,3541916997318.19,3.07981e+11,419164041571.932,308969798703.144,303389825406.904,535558168085.165,4175967159348.43,325029891359.648,320746104364.528,816205785754.3,445345128203.59,1186462212208.1,66.9127433409797,1.01619014842861,4026273924569.5,3.50486e+11,483150311700.866,3.82368e+11,338738903675.709,612007074468.597,4750602843581,375160470607.855,362970983543.862,924740525381.799,506600498936.266,1331958785280.25,88.3873798502791
"25","2009q04",14001.0968306475,4116.09273502689,2063.8393538239,2002.75350850856,139.241778803196,3569868565655.03,3.27735e+11,420511659544.327,303734371632.809,328834249761.926,531983799266.794,3925527795929.18,308901269401.258,323456919225.111,594113517840.93,445967697983.354,1286838148805.31,80.1901434207932,1.00661747777761,4077350341017.92,370368999999.999,473328747498.713,3.2468e+11,374776283825.379,590101050340.181,4405105688284.81,337488362401.416,359728356103.972,668982682707.712,497508325555.407,1477397141450.09,89.0125593849844
"26","2010q01",14301.3769821428,4275.70707503587,2257.50913945257,2087.52561196625,142.78758040176,3870472641234.95,3.86576e+11,431182472471.051,366040189104.819,351455076467.914,511707215241.982,4180563768367.98,354206848656.2,317614111977.696,651223652404.531,456007499126.682,1348669001843.8,80.7176359073791,1.0172237682338,4225070860403.9,423608000000.001,474455803897.246,4.46136e+11,387870440086.782,573244330732.911,4618686562452.97,398094166842.258,349369862690.451,720336093209.165,500463258234.384,1483580324072.15,90.5541440607853
"27","2010q02",14382.1098575683,4164.91887462638,2392.80238728728,2188.87123616538,146.285605753629,3995041611023.65,548748000000.001,441209655797.755,260424485868.22,337256038580.343,575340256010.571,4290299949874.73,351295723631.909,313013172139.222,499007901939.674,461624628909.701,1465094769542.87,75.874630165776,1.01631583974857,4320306275470.68,5.94157e+11,478829849632.892,2.6033e+11,362919055180.936,622239564586.232,4656048579396,377327353461.39,340327866486.115,543403314636.456,505677671328.25,1578236713542.18,92.0033127350692
"28","2010q03",14402.182363946,4190.93542009383,2594.45931809351,2255.01311197061,147.194423541934,3855904873027.08,406929999999.999,446425123539.929,322736723020.979,332295299449.633,593050256297.246,4349876152301.7,361310045735.502,327269452983.79,583897265064.664,471445514745.5,1470248292527.81,75.1601628409336,1.02841329341205,4087871108670.6,4.32768e+11,470271547736.418,3.53874e+11,348196737852.171,630657662461.034,4605426011591.23,386614973571.117,341990938300.829,618225031189.114,498624624363.436,1547191885581.46,94.5756484821955
"29","2010q04",14663.9804069475,4233.7448394582,2714.14647921025,2371.73712726296,151.082750090211,3985379219898.6,4.32318e+11,465360039604.031,370742032423.331,387170859244.64,597351327421.179,4406946121166.83,352665226310.039,326938207784.984,595969927969.189,485356765752.742,1572495994830.59,87.5371078958783,1.0237800175042,4164042197966.55,4.48912e+11,483402131583.383,3.6216e+11,404923044890.92,606883712856.237,4549009118526.89,368363656938.186,336963742570.304,616621820421.105,504827107683.402,1647106087651.26,96.8554848134977
"30","2011q01",14761.573471078,4171.01673673291,2840.0738458382,2454.95982799483,152.481143031699,4814358368469.44,560800999999.999,473350070712.067,386910150604.629,468457248872.058,850226400202.698,4560628400889.05,319133519561.366,332769221525.186,602041513520.717,496125018387.822,1582570398448.85,114.932950470136,1.02422309846699,4890360440891.57,560800999999.999,478295530815.935,4.31185e+11,465602052614.111,890746376033.398,4614763450815.33,311682324444.888,339857262810.712,607716443756.988,501134700101.367,1598556091561.85,99.2367803756921
"31","2011q02",14893.2712571206,4266.11622124272,2994.71659480561,2595.28784391994,158.235262308065,5344657709632.27,691352999999.999,491130379020.977,455049986087.9,508608384397.229,838861572671.968,4818638460873.03,338262066665.5,372424424236.481,663414934792.087,537109083218.951,1526627763409.76,107.173477362923,1.01530233350045,5235572999247.3,6.83805e+11,488984726774.862,4.52981e+11,504313964059.701,800835928628.434,4781848490851.13,344061668068.062,366406905272.192,659939489222.406,532709083150.987,1498463431777.61,100.72848523544
"32","2011q03",15143.5913625878,4198.49361898976,3015.57542277522,2740.03267681653,164.765031195604,5330939066688.86,520565999999.999,502373864744.537,454313484168.248,492651408700.641,905013028903.213,5091598086615.17,344713416689.615,394852426459.024,661682580518.298,572242040096.64,1681362975039.91,104.800388506107,1.00810224994877,5276723185423.67,515913999999.999,489263106154.618,4.47868e+11,490124703458.485,896853994863.106,5019291434941.01,334292723786.012,386685596008.309,652869671213.954,560830948033.48,1652062718744.2,101.482295984008
"33","2011q04",15377.2803573999,4235.76151882853,3105.05788363567,2879.95190677356,170.10126828435,5345332079851.88,497826000000.001,520530409407.267,454306776126.016,572188472082.168,916576953349.405,5476718020872.64,360956163942.814,414356270913.787,770615055750.831,623844595571.032,1715783316064.97,123.27211104483,1.01265493650433,5188931138172.63,487019000000.001,509020961125.603,4.03549e+11,560356564353.329,896073865479.717,5357462116306.96,360419042484.207,405334915379.797,751174908510.204,611230669798.804,1687683964717.59,102.787283693153
"34","2012q01",15569.3924129808,4309.27650553809,3182.57592381391,2981.12827503196,173.457587939288,5544063613388.76,568809999999.999,540624907197.157,482736531644.164,651432682076.564,914937198112.612,5549449074876.76,362194644805.293,449081086674.918,772954923303.986,647666169692.809,1760146598387.58,111.079391640228,1.00123570820451,5476029730895.89,548199000000.001,527220994648.701,4.47999e+11,614994322620.003,889917990844.845,5365854114012.08,342388762026.034,428636176350.065,751967132909.529,624765111215.1,1713634129002.21,102.979299908373
"35","2012q02",15572.9682755634,4207.07551262492,3227.21821840573,3059.6303830182,174.618302628532,5858157659265.95,728872000000.001,552425323655.897,498072527445.128,617020809985.046,943710210694.575,5689015727000.25,365484768405.947,447278229688.938,852560521413.501,654871615842.446,1768244496679,102.189329793565,1.02137667911998,5477420101187.38,690658999999.999,526976199182.51,4.86787e+11,587894837487.212,883418338390.059,5396288957362.35,353368733531.187,425617648932.703,812500231158.258,619149476518.893,1663778831935.98,105.155696086477
"36","2012q03",15636.8817206534,4248.59031676169,3327.72724888864,3135.13600535208,175.408577452487,5633013218504.29,4.33891e+11,571761045888.889,485160689046.248,564307553893.429,975213896938.027,5722379287758.48,353895226956.553,436356872054.826,808040181989.428,665744644578.399,1901053725958.49,106.478881499552,1.0294025159692,5229839032060.4,4.03442e+11,524851878145.275,4.27552e+11,528824670197.626,904540044295.547,5297406209379.13,323529104172.565,415728421087.475,748010450553.877,622868368842.262,1754870350175.64,108.16237028166
"37","2012q04",15640.4800637105,4330.62469780064,3394.21976889941,3172.90997065401,175.121561392103,6033934459317.55,624128999999.999,585826540704.504,480176439389.403,631377429336.632,1017049047073.45,5833183160294.11,356180198391.354,462480068268.005,821353707622.695,663916754853.127,1950943727926.75,114.063155083701,1.01265171737366,5485503688063.36,5.7285e+11,535904540152.738,4.11249e+11,579986663215.099,945709135091.698,5360648362322.97,328232445118.554,425473577703.744,751161225190.17,598779485458.896,1793648686472.19,109.538217300713
"38","2013q01",15798.4004133255,4338.16428463551,3410.5121362247,3258.18401699989,176.223868922119,5858744958578.07,548454000000.001,600148035582.351,441888823034.226,672256326871.981,1019179029113.61,6067365602890.06,364425514169.058,477778704494.34,888458387042.81,711926331000.786,1946505846741.53,117.047441709738,1.00521971989916,5416166907579.49,4.93955e+11,545770366439.543,4.46051e+11,593687291800.36,899463772298.16,5483585607498.38,329325660145.013,433554962026.333,807713037103.874,647908522061.952,1777297339015.29,110.20178942722
"39","2013q02",15847.0506595618,4429.25875788846,3425.78437973225,3296.31957077024,176.416497982853,5842423697296.52,4.469e+11,617569258156.399,462534805749.16,602447468469.111,1119703152678.2,6096841072180.08,378504748724.798,501264427203.924,739680981787.187,709454561123.835,1975657737963.59,97.1685834480887,1.02036872596755,5099094469966.44,3.96121e+11,551027447172.219,4.28651e+11,535444106899.254,999547682696.723,5408626044412.85,334983507473.148,447645131122.005,659397966972.635,630412955826.322,1737986944232.34,112.42922341251
"40","2013q03",15876.8391055589,4539.93491758074,3401.20893925869,3302.3657566867,174.945146688391,6096082937777.54,4.60279e+11,627622394019.355,455463630572.318,618909035755.65,1124741782009.76,6309081692451.81,391829398131.543,534516113966.395,835225806708.654,734928795897.087,2086831196608.57,106.106255661198,1.02125443759265,5339994027429.3,403530000000.001,544223507642.545,3.74999e+11,547856900046.648,981342783711.408,5494019265124.15,344318004742.231,468316465054.114,729009485545.996,644970156955.958,1817614744123.97,114.718549994595
"41","2013q04",15982.9414812717,4584.73600303783,3357.02916360563,3326.91747528323,175.898419019427,6268405398564.29,616251999999.999,638111334942.606,499376092480.447,686869643457.615,1158452132682,6393964382290.08,391332123138.164,566674803595.106,828802807371.934,747429374402.833,2384181815240.62,113.795342326341,1.01668880536044,5361905059397.14,5.31192e+11,550297312860.67,3.98144e+11,592608133216.039,1019989152012.17,5535820464415.41,333356098757.17,489160940085.587,711837184092.195,645436342278.927,2051517812406.84,116.623523593974
"42","2014q01",15912.5173995443,4489.80061046478,3333.63689199731,3319.56581481373,175.157971473782,6433023707785.78,579608000000.001,654877317504.059,496809699342.208,767550388488.311,1211910741816.86,6417340818866.38,415583966312.078,596978327617.024,946444986073.392,745968106271.115,1724396411218.09,112.598618982514,1.00923238362616,5590449534079.7,4.88291e+11,554721566091.23,4.76522e+11,632321456626.914,1044767116148.8,5426756747996.19,357873688162.174,504954433454.391,804846492521.487,637213010789.377,1484645101425.69,117.808119274601
"43","2014q02",16077.8951317509,4540.70672436117,3238.41264308396,3374.87209202762,175.2983863537,6594593688963.98,5.78076e+11,664524957105.921,576943217659.647,741506968692.528,1141161244339.76,6555479311294.37,395529716382.813,620159551192.623,905776861403.111,766148206136.712,2074622930175.02,105.436879857799,1.02851007526224,5319905425138.03,475498000000.001,546797172576.268,4.93103e+11,613104795119.432,895392260313.114,5400318994372.88,321632859711.618,512364328859.931,749325500480.504,626034357811.736,1691362532732.47,121.165329212972
"44","2014q03",15997.5723181472,4573.90919258522,3117.49811836564,3405.04565689644,174.256540168268,6598441414615.07,646258999999.999,670775141520.389,536572746566.95,689177437794.88,1201733342348.82,6837171113640.37,399707144070.241,647857805115.283,870385038845.461,768129463319.969,2225606840508.23,97.4708850284929,1.02431625740195,5352015215672.41,524211999999.999,540540824932.039,4.07991e+11,565146297962.912,969154003120.168,5484914531127.5,322580222059.869,514304979638.869,702888700575.011,613178370074.982,1795319872500.89,123.998734526503
"45","2014q04",15999.7576428946,4391.38964729291,2891.83684165308,3437.72457843697,168.380561877402,6728205248829.87,5.7072e+11,690729824136.718,568097739414.491,710112512751.872,1184609001321.14,7416367297380.62,417793787711.119,647892147919.378,1468187851821.82,778794077112.638,2386880991775.58,73.0828018509039,1.04723068457709,5166508641167.29,4.41882e+11,538715053309.874,4.02746e+11,551307640706.867,942610692297.686,5711955800824.78,321610519476.149,507129153709.77,1132663439728.16,603136254458.189,1828879235870.65,129.824300081484
"46","2015q01",15615.0355562685,4670.57705798204,2564.19033253664,3408.99944392536,162.108100545022,6532295654144.33,633134999999.999,684192870116.758,587174594556.919,836363885844.665,1245515136146.53,7465111691895.04,437137670195.625,729832480268.849,1027846904366.77,769413274895.527,2192003589682.58,59.7293667698366,1.05996311835704,4848714772959.94,456176000000.001,494999711113.598,4.89931e+11,591036920100.979,890578799572.9,5468115306188.73,319483551471.834,524633363550.602,747546101942.742,557949614538.819,1633209242569.17,137.742020619575
"47","2015q02",15566.0569180596,4592.04208765073,2388.82895183,3396.40764819159,156.588059089098,6598999405397.71,868765000000.001,693115118244.973,619389716344.745,850043973772.174,1329910516208.54,7470388058606.41,442463412085.826,687943678847.356,842954033264.835,774191767418.275,2843750770620.64,62.2141561667894,1.01530364692784,4604476740884.45,6.19115e+11,491637826983.656,4.44484e+11,608495801268.913,935837392073.424,5366617576408.96,321083465541.313,498511429794.255,604168358393.1,555297538232.025,2005733065414.48,139.862379708899
"48","2015q03",15570.288184304,4597.29422157157,2294.95436193557,3412.36801549538,152.733944114593,6795005348700.57,5.92353e+11,711967055647.259,626313092339.232,783290862969.479,1368124606349.42,7375684954294.36,456913876613.448,718185227371.977,1065967618719.7,778481723463.312,2471677781458.38,49.3118898183994,1.02840002719124,4757519551457.23,4.14627e+11,496584606214.134,4.17585e+11,553830689949.811,952020390738.355,5157601591892.16,315201407505.892,493524483498.351,742839170835.251,545240972616.25,1726979574441.1,143.691523357964
"49","2015q04",15483.5921652491,4762.77420286008,2246.7626782371,3477.41983113571,152.846337999666,6553294236644.93,504729999999.999,713389573253.865,602682935972.535,757983761369.411,1384148422979.49,6984720971734.93,488112579581.095,716933286729.533,895269449153.856,756356394417.168,2552812380915.06,45.3842249993806,1.02276266202398,4468089041721.55,3.45291e+11,487619569673.748,3.75071e+11,520683214088.024,977261410077.634,4675818833790.96,333039411301.505,485289539933.398,610262513505.43,510235123088.535,1710772536160.37,146.91720966471
"50","2016q01",15509.8056748591,4655.17221379809,2256.29091052104,3528.46296294369,151.484293214345,6374283241410.52,640921999999.999,735053516488.656,680054470522.561,614912856759.393,1391692769609.31,7380832673655.02,455461404625.562,716193213473.106,799249286306.123,770058353318.043,2660478894644.93,39.5054796352961,1.00723551675026,4382860742575.62,429384000000.001,495920640127.848,4.90222e+11,411866074255.585,906568642164.022,4991577043423.35,300654814236.4,483075129768.642,540501368809.97,518648053395.508,1845986339454.54,148.146383981602
"51","2016q02",15513.8896551729,4810.94281153523,2233.81281543044,3585.33148912118,151.336194831926,6550237912891.94,842243000000.001,747469479508.71,630180339610.064,697633968894.516,1462710706157.41,7557969039205.63,473294462648.239,770233586044.543,1073150812542.38,773609355160.011,2502414779212.29,46.6947662462639,1.0163175387107,4239694121593.16,557541000000.001,496033866509.927,4.03442e+11,460314354419.509,968117397759.387,5055200054198.46,323303073176.332,504249574087.936,714470906801.433,515150659201.612,1631274907072.5,150.579797483369
"52","2016q03",15521.5705173758,4834.9808268701,2268.56234904819,3642.68166324775,152.156067151925,6905944300275.25,653058999999.999,756669997573.4,690624399293.416,762545213281.424,1481491248174.35,7701012119435.78,472841443570.425,783351589563.196,1076016455213.16,771799007800.58,2599234420305.53,45.115464944913,1.01719124453108,4537814097610.04,4.29298e+11,496137848659.514,4.34999e+11,504669419059.254,964085524957.063,5076200875254.89,312660538637.442,517968008189.024,704201988025.914,504420649052.455,1708112200699.29,152.996767121532
"53","2016q04",15544.6802046083,4901.31854905558,2371.73398585861,3676.86730301275,153.263483923725,7909189515311.05,6.34097e+11,771206627328.132,713583129201.461,848698606383.787,1688355343771.88,8163132205574.91,452074107617.573,845116554029.839,923480203603.992,795218806872.583,2722042290302.29,54.0405742639124,1.01163744516049,5075383667112.51,411869999999.999,497806518815.921,4.25278e+11,553029367360.135,1136128964710.49,5204282175040.84,282348486518.696,539501802422.16,597682694048.316,524195217045.512,1726610946036.43,154.72401884945
"54","2017q01",15542.1204186902,4978.08804845795,2531.79307731428,3768.21594089549,156.791761995397,7538133240272.07,8.51246e+11,783349198702.943,716922628517.389,1095204417600.57,1590847155868.27,8010093038300.54,465606649004.958,834988927563.97,997187254385.733,800356858982.788,3175670413637.34,58.0289098291691,0.995284119278988,5043008117519.76,5.47974e+11,507698086059.3,5.50294e+11,687400784656.788,1057520084484.75,5163302297120.02,299788883600.103,536707439498.719,647969638340.161,525321266395.171,2113544980187.09,154.1868597808
