"","Time","GDP_2011","Ex_2011","Im_2011","Inv_current","Inv_index","Budget_in","Tax_pi","Tax_ndfl","Tax_nds","Tax_ndpi","Insurance","Budget_out","Out_general","Out_defense","Out_economy","Out_educ","Out_soc","Brent","IPC","Budget_in_r","Tax_pi_r","Tax_ndfl_r","Tax_nds_r","Tax_ndpi_r","Insurance_r","Budget_out_r","Out_general_r","Out_defense_r","Out_economy_r","Out_educ_r","Out_soc_r","INDEXDefl"
"40","2013q03",15876.8391055961,4532.35582560433,3401.2089391364,3299.78433854308,174.945146687397,6158173212604.99,4.60279e+11,627449892206.653,455463630186.44,618909035897.189,1122145990543.78,6292451969148.61,390261979030.697,534516113864.517,834190794774.635,734928795953.185,2074363939462.45,110.1166667,1.02125443759426,5372366927454.83,403530000000.001,548872590180.865,3.74999e+11,579315235111.599,980502037991.932,5495933141549.43,345100016917.327,468316465055.366,735674418422.35,644970156956.448,1788849238967.36,114.71854999747
"41","2013q04",15982.9414809754,4583.12233222945,3357.02916346213,3332.30120310396,175.898419017753,6192675991851.09,616251999999.999,638448920142.722,499376092552.777,686869643291.171,1158977708128.71,6333593805435.38,392962350152.932,566674803555.642,837738331092.495,747429374462.657,2341597697587.33,109.97,1.01668880534596,5341208029506.47,5.31192e+11,550518300533.898,3.98144e+11,587354400762.856,998240088970.176,5463074145025.08,336856824006.223,489160940084.345,707572528719.825,645436342279.503,1993119663884.64,116.623523603239
"42","2014q01",15912.5174000458,4495.19207591246,3333.63689205909,3332.08886030463,175.157971473285,6448678630677.13,579608000000.001,654058617526.813,496809699074.654,767550388255.275,1166318011981.59,6437391360208.39,405061983318.112,596978327563.356,932907712058.87,745968106135.1,1682369769183.29,107.38,1.00923238362324,5455295963737.88,4.88291e+11,549711955923.062,4.76522e+11,598651016456.906,987546963198.492,5436243213929.87,349350521896.887,504954433464.249,820604421015.733,637213010790.422,1526587466410.19,117.808119273418
"43","2014q02",16077.8951316868,4540.89706603981,3238.41264360334,3377.79626475161,175.298386354549,6596459394159.82,5.78076e+11,663906497031.14,576943218471.59,741506968899.605,1178299516098.77,6649078671308.89,400535988312.415,620159551188.93,897126043621.2,766148206201.692,2174837590220.89,110.01,1.02851007527828,5426554068704.26,475498000000.001,545897384533.805,4.93103e+11,602164128435.081,971487972425.731,5455889171042.06,326094239098.192,512364328846.36,740822203377.426,626034357811.815,1756590321059.19,121.165329201799
"44","2014q03",15997.5723179899,4561.33243852241,3117.49811919135,3396.92729921655,174.256540170985,6561910337007.43,646258999999.999,672958522829.411,536572746160.339,689177437950.338,1198040969613.04,6905357467805.08,407285608192.691,647857805165.808,869295501599.717,768129463274.591,2232643481718.69,101.1433333,1.02431625740363,5251806885063.2,524211999999.999,542545990133.671,4.07991e+11,588136008534.999,960042622103.662,5494336565001.17,324364403662.093,514304979681.475,709313428011.966,613178370075.538,1751382275661.47,123.998734527684
"45","2014q04",15999.7576424016,4414.08143942887,2891.83684199119,3420.23037404339,168.380561879116,6701733869973.79,5.7072e+11,687859351816.43,568097739192.241,710112512577.734,1205594259662.57,7235525512656.46,416848281096.837,647892147896.562,1484055691137.84,778794077199.107,2329694857424.47,70.61333333,1.04723068456224,5167667467639.16,4.41882e+11,541040985068.25,4.02746e+11,577925817746.512,929701625236.044,5609512597486.51,320826855023.035,507129153610.463,1125880503754.64,603136254458.486,1745510594080.13,129.824300093838
"46","2015q01",15615.0355568929,4653.92449193923,2564.19033198298,3409.6709153147,162.10810054471,6639252870991.47,633134999999.999,685521483054.594,587174594772.505,836363885593.124,1259341678573.02,7467399312130.57,433470528697.148,729832480368.557,1013141512273.53,769413274804.145,2126276522833.19,56.84333333,1.05996311835379,4837385265807.25,456176000000.001,491656973674.352,4.89931e+11,570877865379.815,924228959448.652,5449011763210.61,318836729242.331,524633363683.612,762180645389.174,557949614538.778,1707410697236.77,137.742020619737
"47","2015q02",15566.0569181379,4594.19136338055,2388.82895099125,3408.34768990453,156.588059086929,6612937890464.93,868765000000.001,693186241564.753,619389716552.279,850043974012.336,1312321428516.3,7529682977023.56,446554523679.225,687943679129.72,834898408307.534,774191767424.051,2955859934335.85,65.04333333,1.01530364694372,4730876272534.85,6.19115e+11,491677667752.797,4.44484e+11,578804481588.731,937831278909.477,5334052065210.51,319846867985.112,498511429691.762,597312713734.254,555297538232.126,2052898339239.54,139.862379694311
"48","2015q03",15570.2881841529,4604.08081563954,2294.95436158673,3423.02026895958,152.733944113762,6632862764949.38,5.92353e+11,709159381795.325,626313092301.374,783290863143.721,1351270321154.97,7505249561766.71,457643641458.833,718185227885.466,1064628121647.3,778481723604.703,2482786331437.2,51.13666667,1.02840002719301,4635709043443.69,4.14627e+11,492630483229.467,4.17585e+11,560329685773.06,939114898032.43,5170746821587.28,316804717590.749,493524483515.165,749627164634.558,545240972616.159,1673883120314.33,143.691523359835
"49","2015q04",15483.5921648817,4752.52546356194,2246.7626783044,3474.85950863548,152.846338000472,6546655669402.95,504729999999.999,715567124498.854,602682935571.429,757983761181.27,1398261552148.94,6706103336890.03,475967912460.589,716933287506.491,904947721922.451,756356394229.573,2509359825654.52,43.86666667,1.02276266200953,4391314663109.51,3.45291e+11,490520117521.306,3.75071e+11,553336254413.64,952499254295.347,4878799646580.49,330964873072.544,485289539910.622,606610721071.527,510235123088.394,1650326368732.11,146.917209681188
"50","2016q01",15509.8056752741,4663.63376093609,2256.29091077158,3520.76304108886,151.484293216118,6589408822088.5,640921999999.999,733604641319.598,680054471080.465,614912856576.307,1416205303757.45,7494556568252.97,464270504994.697,716193213864.471,787817611948.344,770058353373.962,2576327810835.76,37.56333333,1.00723551674694,4371395667963.25,429384000000.001,490242601165.405,4.90222e+11,406217777826.464,954717088300.92,4989842302098.12,308384784401.639,483075129717.046,551082607967.05,518648053395.624,1930425664642.71,148.146383980263
"51","2016q02",15513.8896552334,4808.18555993722,2233.81281548843,3578.94749965356,151.336194831244,6594374578934.87,842243000000.001,747380878768.2,630180338879.283,697633969093.907,1438097054356.67,7642521093073.49,469134343361.494,770233586284.419,1062893694793.56,773609355137.443,2603972825078.54,48.86,1.0163175387267,4472336722420.6,557541000000.001,492676284530.989,4.03442e+11,447406229367.088,953973900199.312,5000855690612.57,313812248114.673,504249574156.262,706362145156.537,515150659200.456,1657896496900.94,150.579797464962
"52","2016q03",15521.5705172503,4838.69224211744,2268.5623481948,3642.64253377716,152.156067150076,6616617795448.1,653058999999.999,757076537063.745,690624399408.604,762545213448.793,1471260432120.47,7772751535316.52,468854156274.565,783351589584.293,1074663482830.67,771799007653.492,2626452380727.42,46.74333333,1.01719124453291,4528792020695.03,4.29298e+11,496144577492.751,4.34999e+11,515856850403.148,963461797508.607,5050216255449.68,309613626434.759,517968008143.21,710636191880.527,504420649051.771,1655577139150.76,152.996767124803
"53","2016q04",15544.6802043601,4893.11138665457,2371.7339851637,3688.07361654805,153.263483924338,7873921020974.76,6.34097e+11,770560197215.245,713583129217.796,848698606170.507,1709157028750.49,7933429598960.35,463696427910.975,845116553790.255,933462509860.584,795218807031.876,2684142479323.56,52.26,1.01163744514625,4869466970889.89,411869999999.999,501313088469.67,4.25278e+11,573351981832.408,1111041323642.48,5209579736232.78,291282597842.445,539501802504.033,594107540444.202,524195217046.69,1659791819275.61,154.724018869251
"54","2017q01",15542.1204190033,4977.56468122223,2531.79307792329,3772.26565518355,156.79176200078,7810971791526.71,8.51246e+11,783492003320.011,716922629429.665,1095204417277.58,1528846692044.4,8067616051934.49,473936695298.363,834988927504.829,982926667747.422,800356859156.182,3090033332642.36,55.18666667,0.995284119275511,4820680039948.33,5.47974e+11,506070789915.203,5.50294e+11,663232730281.784,981310734652.162,5204686662334.84,307215519885.69,536707439425.881,660655091261.308,525321266399.268,2206354677036.65,154.186859778419
