"","x"
"143",0.68658539795034
"144",0.661062136719319
"145",0.632824694888595
"146",0.639118830532329
"147",0.629915417571921
"148",0.599491503898916
"149",0.670068083906493
"150",0.693160552376166
"151",0.676646479804665
"152",0.625326829179
"153",0.719342700846158
"154",0.702342415819063
"155",0.685198038527673
"156",0.642743631323138
"157",0.742935087272665
"158",0.709754879300501
"159",0.680010585117161
"160",0.669826879200174
"161",0.701714532254928
"162",0.711239856566079
"163",0.707569230059679
"164",0.691608058858695
"165",0.723355350275353
"166",0.717752246584661
"167",0.723202376675324
"168",0.712324324236296
"169",0.751368860775179
"170",0.741960412521451
"171",0.739530320898308
"172",0.731076279827408
"173",0.754420760321736
"174",0.757776015685639
"175",0.750959083615502
"176",0.731683037913418
"177",0.685403924812965
"178",0.685333062434166
"179",0.685300174221499
"180",0.687141981039701
"181",0.728441165439352
"182",0.722279470576996
"183",0.726906456178815
"184",0.708690344106341
"185",0.775575449195416
"186",0.75318494926656
"187",0.739389380911129
"188",0.732774201746734
"189",0.764904886010187
"190",0.787568578734566
"191",0.761956046688382
"192",0.75506816274961
"193",0.697242424826707
"194",0.679793009479794
"195",0.675162474160168
"196",0.699398081478714
"197",0.740199989303054
"198",0.708751782174988
"199",0.72510315783748
"200",0.718600769770885
"201",0.767724043334905
"202",0.74424003327487
"203",0.732192814485936
"204",0.730822558756368
"205",0.781945463565659
"206",0.761360185317928
"207",0.756533009720181
"208",0.712232221482218
"209",0.673358985687611
"210",0.695484910634271
"211",0.675832648458279
"212",0.669648983746179
"213",0.739831187622127
"214",0.735922454954889
"215",0.716353917823267
"216",0.695723743590744
"217",0.757148626924536
"218",0.75667021850709
"219",0.73629805191214
"220",0.713553158634682
"221",0.793158198609906
"222",0.778518181619552
"223",0.763029198394585
"224",0.745274204977565
"225",0.684082286898411
"226",0.677975308648181
"227",0.67737931811412
"228",0.681070986706182
"229",0.74551804353905
"230",0.753238545943777
"231",0.720520630161269
"232",0.710737417292377
"233",0.776955493352758
