"","X","Brent","M2","USD_RUR","Construction_real_index","Construction_nominal_value","IPC","ICP_prom","Index_prom_O2","Index_dobycha_O2","Index_obrab_O2","Index_energy_O2","Index_water_O2","Index_prom_O1","Index_dobycha_O1","Index_obrab_O1","Index_energy_water_O1","Index_roznica","Roznica_current","Pay_service_to_prev_y","Pay_service_to_prev_period","Opt_current","Budget_in","Tax_pi","Tax_ndfl","Tax_nds","Tax_ndpi","Insurance","Budget_out","Out_general","Out_defense","Out_economy","Out_educ","Out_soc","Budget_in_r","Tax_pi_r","Tax_ndfl_r","Tax_nds_r","Tax_ndpi_r","Insurance_r","Budget_out_r","Out_general_r","Out_defense_r","Out_economy_r","Out_educ_r","Out_soc_r","INDEXDefl"
"21","2005m5",47.9325841503805,4670.85109938414,28.2812137379061,276.856107580536,135.965766446793,100.929548684704,102.7,NA,NA,NA,NA,NA,123.704017041133,123.344873358175,140.681234701112,73.8797349224929,173.275252031322,574.295197034417,110.142011325508,100.664769067563,1155.66534231571,622976695316.081,82102469155.5335,56631848896.3866,83232638323.8901,73934237604.631,23536032128.7295,475528533499.946,58346384633.9444,44845077389.2128,54972480729.9574,61599625701.6762,37661243401.5165,998970684741.746,161335391039.214,98251413649.6307,140207994119.36,123996030876.091,37439636356.6285,823211821094.021,95114358303,80722166647.3236,94513325545.1876,106212518439.809,70710820650.1504,57.9749851581344
"22","2005m6",51.7464103288671,4809.23803248248,28.880437203009,277.962936824796,138.566654914078,100.788621885143,100.1,NA,NA,NA,NA,NA,127.810845430601,123.600578859162,147.859073699249,73.998433609724,173.050072579302,578.828234479736,109.85238957386,100.175083292368,1197.83276308655,597461046789.16,111570109132.267,57315321089.4598,85384150575.0016,64778194228.9919,19373591022.7301,469266669099.747,63485391575.638,45469196168.7277,57990153218.3248,62213082960.56,45040060377.8255,1009108783560.46,175279646159.647,99034863678.4774,138015336054.632,114124210997.435,31936722827.7062,797910190386.462,109830228715,73640055710.5725,99864996353.3752,106901248923.749,64116220845.1701,58.5316188222806
"23","2005m7",56.6380171965044,4984.70835847895,29.0082056871614,283.420197415865,143.445398368967,100.666023761895,100.5,NA,NA,NA,NA,NA,127.328375689458,124.257613458607,146.502614273695,74.9285687200343,174.026001982097,585.888638025368,109.07918787239,101.233492806496,1222.17605947406,632679921636.48,102579295396.257,58785106070.8118,81155052418.8057,79376154199.2236,21446933424.0693,497045892211.11,62962249136.8481,47790827175.5102,60509325189.6849,64139212895.4696,39834067829.4937,1022896346991.66,174395607015.11,100179229895.219,121059255958.52,131236259175.679,27853408023.2888,834321323560.934,96735054786,84585564133.8611,103931060486.225,108755397190.857,72513737885.4901,59.0128404045349
"24","2005m8",64.2016574190878,5166.63690152466,28.2625691879559,286.439203739028,146.703247621053,100.570332444113,102,NA,NA,NA,NA,NA,127.138808306091,123.332367006397,146.476629001793,74.867755791729,175.537761045971,595.030157973552,107.450827381875,100.67455663076,1286.68344088763,594269488002.038,91077672777.8139,60141430832.8466,76906599141.2628,86881002620.8385,22528906889.509,494159024788.61,74619935617.3534,48795913427.9969,62167273046.1925,67102288613.7732,33916552735.2527,1061924347565.23,170873961084.524,101580274789.61,125645516218.126,140750158488.333,29122902873.0623,839945855674.446,131097137507,83665887499.2367,106265187702.111,111168779666.419,82125525604.6406,59.4126067801509
"25","2005m9",63.2148813118291,5327.59142838271,28.7409888684574,285.556590158334,147.206373284208,100.758501324578,102.8,NA,NA,NA,NA,NA,129.038509157862,124.892345610123,148.984950048427,74.7874722235554,178.298504136244,609.049959196169,106.510104465448,100.50075861388,1297.0815387764,691811026315.655,119333915501.012,61488386772.5178,74891250346.77,79947719624.5496,18357429966.8191,527427133652.722,65636172241.2553,49236186462.0757,63300013518.5786,66579819712.1074,27601067229.3148,1084815624432.77,183136599073.522,102995972754.128,122209681949.701,147288479270.543,19588141937.8358,888690923549.787,112901498162,80722741077.1658,107644161385.984,111620582580.511,38307289790.2169,59.7528540816471
"26","2005m10",59.299136035496,5460.61115516289,28.792073611262,287.487231869366,149.594305863251,100.655297472818,100.9,NA,NA,NA,NA,NA,128.936894036299,125.054920381791,148.716552963003,75.0918992661858,179.307311054368,615.411678012443,108.3814908095,100.649965491499,1362.76069203143,658742360747.857,-965438102774.34,-482821392569.896,66605954068.5074,-647021664818.076,-108027833150.317,504010731446.07,-519279938308.791,-369949806569.512,-450585016496.541,-505583314223.239,-281664269683.343,1140842881513.84,-1638974752878.48,-811695283235.123,121792968162.081,-1076235746662.5,-166057049314.665,824534928776.156,-881267877007.5,-615185598186.021,-758419050007.633,-854275097112.484,-513613703753.578,60.227259148281
"27","2005m11",56.4938813148926,5577.34412643365,28.0090240111264,294.370397641691,154.563334430308,100.711808351838,99.1,NA,NA,NA,NA,NA,130.24305119509,124.811578534084,150.730111155245,75.6113973125663,181.507900705199,626.101314004158,110.304496202563,101.552745966276,1392.93222821102,659829516327.541,1190670539694.04,613631667003.567,72344009237.325,816787372681.372,264713398354.56,507630217334.18,600777053645.954,474707863319.478,597187394239.4,648986442476.861,413419196459.375,1144133270017.39,1989502256147.33,1017391857199.74,119076469055.796,1371475197736.26,439364276682.903,837289541216.677,998122713263,775839596313.927,991665820054.495,1087381896124.15,697383825870.158,60.6344697399718
"28","2005m12",62.9066324467909,5720.5790487297,27.9500575635014,296.298795330054,156.161243796756,100.745397545987,97.9,NA,NA,NA,NA,NA,130.820323457787,124.898073611307,151.05627680558,77.3634990846645,183.07889018136,638.11376321863,109.779452702577,101.451617062136,1449.18287336872,640672896353.794,115546978559.06,65697597580.6416,70587001333.362,88185806095.4515,-106053802989.425,517394690973.468,82236558489.7416,54146029543.4996,64667812642.741,70976134537.8882,21614684698.271,1094654236368.84,188841315996.667,107124885121.072,115720069062.798,144040312692.67,-167487120928.482,847765748899.406,170996678172,98306438082.9031,106928053003.284,116443225637.327,58075310145.013,61.0695189891097
"29","2006m1",69.7142159703289,5827.04485004041,27.6419657239735,288.86910693112,142.169278093702,101.187983164444,100.5,NA,NA,NA,NA,NA,129.569557294846,124.360339418348,147.007715045357,85.0530788443328,185.594860619543,653.514339642617,107.453191880853,99.8370430596029,1514.99309184348,742546017890.993,104926251659.843,67944788836.7041,84318107380.6655,93005354069.2277,37988396562.3018,551854806753.757,66818570962.2892,53448071841.5915,66880227106.8167,73205806153.3247,57243029792.7472,1203202529211.94,196616924418.686,109112015413.805,153707045262.655,148926560595.24,63988304388.4273,891304437093.183,96917156771,86502746762.2645,108667861391.275,118581013022.1,88436554004.3401,61.5192557661604
"30","2006m2",60.7391162609306,5933.47906491208,27.8624458610071,299.389066628188,157.604531227652,101.331449962105,103.2,NA,NA,NA,NA,NA,130.567673113125,124.809554223836,150.028631422154,78.29747193996,186.418859687946,666.295882110818,107.955357142857,101.502033058728,1584.8997976379,723540456028.707,119405745337.926,68350536961.2062,80853358959.456,100152618930.568,33836651718.6131,562475410671.326,68687019061.2216,52913886632.6837,67492535238.8284,75500782865.3806,51264101111.0251,1160260963310.24,193631687179.512,110433895726.77,127061649955.786,157161206085.566,53446361366.5248,901529688548.571,102878972814,80111465167.789,108086731610.936,120401477621.834,79911454611.2199,62.209776129216
