"","GDP_2011","Budget_in_r","Budget_out_r","Out_general_r","Out_defense_r","Out_economy_r","Out_educ_r","Out_soc_r","Brent"
"15",14091.621640392,4434.22903134988,3688.86032608028,410.556068354919,298.688841428,482.057252957334,459.051125241464,880.113445756705,69.7866666666667
"16",14307.5420175744,4840.40564721081,4081.56268162635,414.799971069702,306.504915934774,513.332101764462,478.553057363263,1014.42917182619,77.7766666666667
"17",14756.5629707998,5246.12207979846,4347.22375277616,485.468004104324,303.806657760381,602.797621696986,500.112276703065,1026.16904963659,90.9966666666667
"18",15134.6878072842,5304.5655056429,4288.04152971634,466.819439888809,304.901731789972,596.079747798042,500.551693087217,1065.52562703806,97.51
"19",15219.912180934,5384.55534536181,4463.48886467206,426.388424012069,319.285761564142,683.982266768628,518.991562669495,1141.32158964622,127.093333333333
"20",15074.0830704338,5125.33947616536,4461.24040132494,418.140781471623,331.079246150453,713.458525165504,527.291462919944,1156.44918712153,112.696666666667
"21",14463.502422528,4406.58881047132,4579.02810448093,381.351643559195,346.588395928539,751.681308619921,522.955476110622,1180.4101422027,54.8933333333333
"22",13825.3444252795,4039.10567643715,4571.93088816717,381.435339617114,344.690039961697,837.867800521753,517.099324185974,1219.0978178346,46.8166666666667
"23",13703.4994874434,3691.56757006303,4541.29885993333,374.325149769409,347.493151830708,798.269723133686,512.141796786407,1244.01530383452,61.9533333333333
"24",13819.672910829,3787.68947374383,4640.58927469889,367.71155689574,347.69809051843,805.875921005296,506.016214305667,1340.02519427004,69.92
"25",13966.9073896757,3989.79144175495,4503.5214709399,358.469702030848,339.068072805327,709.079134619193,500.360778761275,1426.10717394862,77.1266666666667
"26",14291.6018065784,4103.86693011584,4580.89141794192,382.011090431543,346.187146890733,697.131449825878,504.713010945965,1484.48305578905,77.1266666666667
"27",14402.3052924469,4254.35198762657,4635.79394475827,366.154202014783,335.723424778681,620.172245343571,500.080037900625,1590.01918530168,78.87
"28",14415.9624282253,4208.72202740416,4574.09849169367,375.869156913342,331.736939798212,638.909038467432,502.115605445303,1556.91422890637,78.2633333333333
"29",14645.3754825591,4358.55526597493,4603.85118996356,365.789218438064,337.581586661794,629.653640035239,506.319561034111,1597.89731407216,84.355
"30",14762.530089762,4746.28071146223,4715.30017950204,321.606090394581,323.830799299679,630.79876763469,506.966095308801,1599.01174016864,109.943333333333
"31",14905.7182733421,5049.2089378113,4784.8860817869,353.124156240897,367.305690251735,669.454284588964,537.441228932394,1570.73829023497,111.393333333333
"32",15155.840958025,5293.73028880151,5029.36722693195,327.836204533523,414.797080448431,681.309582419089,564.168794988071,1648.58655961238,108.926666666667
"33",15376.6921361142,5451.63512061465,5241.40037285093,352.306897113877,429.364944432696,735.856983551911,600.734213053409,1635.58799518926,119
"34",15536.469573728,5413.38390304623,5313.12669765276,369.671328329461,457.785901738741,736.435163490246,619.265532356167,1717.76394725427,106.22
"35",15590.787815841,5466.04338042345,5392.37761974764,344.82577377234,437.719132423015,772.390867938472,618.67296848101,1693.04077858266,106.22
"36",15639.2733816666,5448.88015416651,5358.61185748587,360.658535297178,407.026051239402,773.573202635599,617.749916035578,1748.30802227817,110.56
"37",15658.0373506901,5405.23223922404,5378.98653011619,330.00383730814,417.188504048886,726.045540293807,610.357551486522,1727.08013376388,110.226666666667
"38",15793.7409940729,5338.19525765491,5402.07429012497,328.984878164084,428.077949230577,775.137179859128,640.625100436377,1790.23202258053,111.816666666667
"39",15836.0969183647,5256.86467977967,5485.50897287153,334.834362533035,454.972206517673,710.950666095451,635.66754975625,1840.12311935312,101.13
"40",15883.2111740219,5301.66780459927,5494.43589812175,325.816426292374,471.723073222938,741.186149912484,637.052626459232,1773.50069708016,110.116666666667
"41",15967.0342732824,5353.69833889706,5480.08023889446,334.061213648823,502.798588377255,735.570111022091,646.745726363754,1863.94355504527,109.97
"42",15969.1971368591,5453.16721121736,5523.27135758085,336.289591229626,508.605041841278,750.027449187562,634.505522392984,1706.15091022909,107.38
"43",16037.9186840976,5415.6133466772,5437.28128337349,319.605494674528,500.757775720592,797.783156070587,621.834955984209,1698.61759153306,110.01
"44",16009.2672903361,5271.64613355682,5506.73505152721,325.586367762402,511.539212618493,782.951823507628,615.921933699335,1767.79627989323,101.143333333333
"45",15954.5481092124,5117.55710634813,5588.16483092648,312.535920783142,488.185882436841,822.885813119221,600.648035084794,1752.9909951022,70.6133333333333
"46",15668.0043968807,4891.93984476244,5412.15861379186,311.057573611005,542.03061440691,767.300543431062,562.100609558974,1765.66040865139,56.8433333333333
"47",15566.8191676518,4719.26902571003,5317.2744989892,325.562281895977,483.377461459595,706.244470500456,553.962999897726,1871.3904960846,65.0433333333333
"48",15562.3961119381,4574.95211449037,5139.34469616824,312.539121279491,452.397850988343,652.821485932428,546.364263638067,1746.20002898692,51.1366666666667
"49",15473.4035822043,4357.98852785487,4885.95106453188,342.200871646333,443.872628642498,663.42057739572,513.329651534251,1752.2859229884,43.8666666666667
"50",15531.5024917652,4362.03087562732,4948.6250778551,324.887286365692,459.433872993646,597.697033546618,518.45509948634,1729.26650747552,37.5633333333333
"51",15509.503327365,4423.51371005587,5032.2310925398,316.325031944667,506.168716177118,681.004116602968,518.319474041834,1699.27981023288,48.86
"52",15500.5309356096,4550.5004396284,5089.64916249104,315.932710792024,552.457649087193,669.742923974537,508.177578548679,1797.00432060831,46.7433333333333
"53",15545.2989330564,4810.74966159655,5197.22599710755,291.740048275963,596.140931025968,693.759873916958,523.602193291151,1798.81347176661,52.26
"54",15605.3759724464,4941.40498521714,5204.36419435514,297.375854311228,556.383208422094,726.50650505015,527.17082832846,1906.9411885074,55.1866666666667
